Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__Q2UVX4	CON__Q2UVX4	2	2	2		1	2	2	2	0	2	2	0	2	0	2	2	0	2	0	2	2	0	2	1.5	1.5	1.5	187.37	1662	1662	0	37.184		By MS/MS	By MS/MS		By matching	0	1.5	1.5	0	1.5	8738800	0	5479800	3103000	0	155960	0	72870	69689	0	29539	0	2	2	0	0	4			+	29	53;111	True;True	54;119	133;134;135;347;348;349	94;95;220;221	95;220		

CON__Q3SX28	CON__Q3SX28	21	6	3		1	21	6	3	5	12	11	9	11	2	3	3	1	2	0	2	2	1	0	53.2	24.3	12.7	33.012	284	284	0	69.757	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.7	29.9	28.5	24.3	27.5	6849200	24125	4054800	2297100	337860	135350	0	59722	45440	0	0	0	2	2	1	2	7			+	30	42;47;72;100;131;132;197;566;642;643;678;717;719;750;751;752;871;885;919;1079;1278	True;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True	43;48;74;106;140;141;216;605;688;689;727;766;768;799;800;801;922;936;937;977;1146;1358	109;110;119;120;194;195;302;303;415;416;417;418;419;420;421;422;592;593;1562;1563;1784;1785;1786;1787;1788;1789;1790;1889;1890;1891;1892;1893;2005;2006;2007;2008;2009;2010;2013;2102;2103;2104;2105;2106;2107;2108;2109;2424;2425;2426;2427;2428;2450;2451;2452;2453;2454;2534;2938;2939;2940;2941;3467	77;84;133;134;196;263;264;265;266;267;268;394;1040;1194;1195;1196;1197;1198;1199;1270;1271;1272;1337;1338;1340;1397;1398;1399;1400;1401;1402;1611;1612;1613;1631;1632;1633;1634;1691;1948;1949;1950;2296	77;84;134;196;264;268;394;1040;1196;1199;1270;1338;1340;1398;1399;1402;1611;1634;1691;1950;2296	22	1

CON__Q3SZR3	CON__Q3SZR3	1	1	1		1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	8.9	8.9	8.9	23.182	202	202	0	6.0317		By MS/MS	By matching			0	8.9	8.9	0	0	388140	0	206160	181970	0	0	0	0	3978.9	0	0	0	1	0	0	0	1			+	31	979	True	1043	2669;2670	1793	1793		

CON__Q5D862	CON__Q5D862	2	2	2		1	2	2	2	0	2	0	1	0	0	2	0	1	0	0	2	0	1	0	0.8	0.8	0.8	248.07	2391	2391	0	13.257		By MS/MS		By MS/MS		0	0.8	0	0.5	0	554010	0	285040	0	268970	0	0	3861.9	0	0	0	0	1	0	1	0	2			+	32	338;419	True;True	365;453	1001;1189;1190	646;773	646;773		

CON__Q8N1N4-2;CON__Q7RTT2	CON__Q8N1N4-2;CON__Q7RTT2	2;2	2;2	2;2	;	2	2	2	2	0	1	0	2	0	0	1	0	2	0	0	1	0	2	0	4.8	4.8	4.8	56.964	521	521;521	0	11.716		By matching		By MS/MS		0	2.5	0	4.8	0	125420	0	27003	0	98413	0	0	0	0	7127.1	0	0	0	0	2	0	2			+	33	139;1178	True;True	148;1252	436;3216;3217	279;2140	279;2140		

CON__Q7Z794	CON__Q7Z794	3	2	2		1	3	2	2	0	2	1	3	1	0	1	0	2	0	0	1	0	2	0	5.9	3.8	3.8	61.802	578	578	0	13.053		By matching	By matching	By MS/MS	By matching	0	4.2	2.1	5.9	2.1	383990	0	161510	0	222480	0	0	0	0	16112	0	0	0	0	2	0	2			+	34	413;1273;1483	False;True;True	447;1353;1575	1177;1178;1179;1180;3455;3456;4001	766;2289;2641	766;2289;2641		

CON__Q86YZ3	CON__Q86YZ3	3	3	3		1	3	3	3	0	0	0	3	0	0	0	0	3	0	0	0	0	3	0	4.6	4.6	4.6	282.39	2850	2850	0	25.319				By MS/MS		0	0	0	4.6	0	458460	0	0	0	458460	0	0	0	0	33202	0	0	0	0	3	0	3			+	35	526;561;1461	True;True;True	565;600;1551	1474;1554;3953	971;1034;2609	971;1034;2609		

CON__Streptavidin	CON__Streptavidin	4	4	4		1	4	4	4	1	4	4	1	3	1	4	4	1	3	1	4	4	1	3	43.1	43.1	43.1	16.622	160	160	0	92.596	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	6.9	43.1	43.1	6.9	30	230450000	22249	203950000	25684000	665550	128030	0	2834200	490610	0	0	0	5	4	1	0	10			+	36	635;933;1229;1445	True;True;True;True	681;995;1304;1535	1765;1766;1767;1768;1769;2565;2566;2567;2568;2569;3342;3343;3344;3345;3346;3917;3918;3919;3920	1180;1181;1182;1713;1714;1715;2215;2216;2580;2581;2582	1181;1714;2215;2581		

ENSMODG00000000169|ENSMODT00000000199;ENSMODG00000003709|ENSMODT00000004642	ENSMODG00000000169|ENSMODT00000000199	6;2	6;2	6;2	ENSMODG00000000169|ENSMODT00000000199	2	6	6	6	0	6	5	0	2	0	6	5	0	2	0	6	5	0	2	31.1	31.1	31.1	27.479	238	238;191	0	66.256		By MS/MS	By MS/MS		By matching	0	31.1	27.7	0	9.7	13907000	0	13290000	588470	0	29304	0	179140	10554	0	8868.1	0	7	1	0	0	8				37	428;495;894;1061;1317;1436	True;True;True;True;True;True	463;534;947;1128;1399;1525	1218;1219;1404;1405;2484;2485;2486;2880;2881;2882;3572;3573;3574;3901	793;924;1654;1655;1656;1918;2357;2568	793;924;1656;1918;2357;2568		

ENSMODG00000000329|ENSMODT00000000400	ENSMODG00000000329|ENSMODT00000000400	1	1	1	ENSMODG00000000329|ENSMODT00000000400	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2.1	2.1	2.1	80.981	726	726	0	10.526				By MS/MS		0	0	0	2.1	0	95851	0	0	0	95851	0	0	0	0	6941.6	0	0	0	0	1	0	1				38	1197	True	1271	3268	2169	2169		

ENSMODG00000000386|ENSMODT00000000474	ENSMODG00000000386|ENSMODT00000000474	1	1	1	ENSMODG00000000386|ENSMODT00000000474	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2.3	2.3	2.3	58.483	520	520	0.0073801	5.7157		By MS/MS				0	2.3	0	0	0	170740	0	170740	0	0	0	0	2313.2	0	0	0	0	1	0	0	0	1				39	1306	True	1388	3548	2344	2344		

ENSMODG00000000457|ENSMODT00000000557	ENSMODG00000000457|ENSMODT00000000557	6	6	6	ENSMODG00000000457|ENSMODT00000000557	1	6	6	6	0	6	6	0	1	0	6	6	0	1	0	6	6	0	1	60	60	60	15.171	135	135	0	105.69		By MS/MS	By MS/MS		By matching	0	60	60	0	7.4	25920000	0	20629000	5273000	0	17802	0	290580	104200	0	0	0	6	7	0	0	13				40	119;229;395;667;830;1009	True;True;True;True;True;True	128;250;426;715;880;1075	380;381;382;383;687;688;1128;1129;1845;1846;2328;2329;2736;2737;2738	239;240;241;242;459;735;736;1236;1237;1550;1551;1839;1840	242;459;736;1236;1550;1839		

ENSMODG00000000572|ENSMODT00000000702	ENSMODG00000000572|ENSMODT00000000702	7	7	6	ENSMODG00000000572|ENSMODT00000000702	1	7	7	6	0	7	7	1	2	0	7	7	1	2	0	6	6	1	2	45.9	45.9	37.2	20.841	183	183	0	128.09		By MS/MS	By MS/MS	By matching	By MS/MS	0	45.9	45.9	7.7	13.1	27080000	0	21109000	5845600	34641	90623	0	309420	84341	0	31167	0	13	7	0	1	21				41	258;472;617;733;865;1348;1438	True;True;True;True;True;True;True	280;510;660;661;782;916;1433;1527	760;761;762;1346;1347;1708;1709;1710;1711;1712;1713;1714;2052;2053;2054;2055;2408;2409;3665;3666;3667;3903;3904;3905;3906	501;502;503;880;881;1138;1139;1140;1141;1142;1370;1371;1372;1603;1604;2422;2423;2424;2570;2571;2572	502;880;1138;1371;1603;2424;2572	23;24	137;140

ENSMODG00000000662|ENSMODT00000000810	ENSMODG00000000662|ENSMODT00000000810	5	5	5	ENSMODG00000000662|ENSMODT00000000810	1	5	5	5	0	4	4	4	1	0	4	4	4	1	0	4	4	4	1	5.1	5.1	5.1	112.62	1011	1011	0	57.167		By MS/MS	By MS/MS	By MS/MS	By matching	0	4.9	4.9	4.2	1.7	18428000	0	13639000	4431300	271290	86810	0	179200	105300	16824	0	0	2	3	3	0	8				42	720;771;843;877;878	True;True;True;True;True	769;820;893;928;929	2014;2015;2154;2155;2156;2157;2349;2350;2351;2439;2440;2441;2442	1341;1432;1567;1568;1569;1622;1623;1624	1341;1432;1568;1622;1624		

ENSMODG00000000802|ENSMODT00000000975	ENSMODG00000000802|ENSMODT00000000975	11	11	11	ENSMODG00000000802|ENSMODT00000000975	1	11	11	11	3	8	8	0	7	3	8	8	0	7	3	8	8	0	7	35.7	35.7	35.7	35.692	322	322	0	108	By MS/MS	By MS/MS	By MS/MS		By MS/MS	9	29.5	29.5	0	23.6	25984000	151860	11209000	12345000	0	2279000	145930	156750	480490	0	228180	1	9	8	0	4	22				43	205;211;348;352;682;721;724;1071;1087;1208;1255	True;True;True;True;True;True;True;True;True;True;True	225;231;376;380;731;770;773;1138;1155;1282;1333	611;612;630;631;1023;1024;1031;1032;1903;1904;1905;2016;2017;2018;2019;2026;2027;2028;2911;2960;2961;2962;2963;3296;3297;3298;3299;3300;3407;3408	407;417;418;663;664;669;1278;1342;1343;1344;1345;1350;1351;1932;1964;1965;1966;2182;2183;2184;2185;2260	407;417;663;669;1278;1343;1351;1932;1965;2184;2260		

ENSMODG00000000837|ENSMODT00000001014	ENSMODG00000000837|ENSMODT00000001014	1	1	1	ENSMODG00000000837|ENSMODT00000001014	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	8.5	8.5	8.5	18.359	165	165	0	10.37		By matching	By matching		By MS/MS	0	8.5	8.5	0	8.5	441110	0	265400	109070	0	66639	0	0	0	0	12822	0	0	0	0	1	1				44	1419	True	1507	3842;3843;3844	2529	2529		

ENSMODG00000000988|ENSMODT00000034224	ENSMODG00000000988|ENSMODT00000034224	2	1	1	ENSMODG00000000988|ENSMODT00000034224	1	2	1	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	4.2	1.7	1.7	74.064	661	661	0	6.2375		By MS/MS	By matching			0	4.2	2.6	0	0	106220	0	106220	0	0	0	0	1439.2	0	0	0	0	1	0	0	0	1				45	725;1480	True;False	774;1572	2029;3996;3997	1352;2637;2638	1352;2638		

ENSMODG00000000996|ENSMODT00000001215	ENSMODG00000000996|ENSMODT00000001215	1	1	1	ENSMODG00000000996|ENSMODT00000001215	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1.2	1.2	1.2	143.67	1280	1280	1	-2		By MS/MS			By matching	0	1.2	0	0	1.2	1272400	0	1231400	0	0	40976	0	0	0	0	7884.3	0	1	0	0	0	1	+			46	1424	True	1512	3869;3870	2547	2547	25	702

ENSMODG00000001015|ENSMODT00000001233;ENSMODG00000023940|ENSMODT00000023305;ENSMODG00000025240|ENSMODT00000001087;ENSMODG00000023202|ENSMODT00000030466;ENSMODG00000012036|ENSMODT00000015356;ENSMODG00000025373|ENSMODT00000039532;ENSMODG00000024992|ENSMODT00000038101;ENSMODG00000000365|ENSMODT00000000448	ENSMODG00000001015|ENSMODT00000001233;ENSMODG00000023940|ENSMODT00000023305;ENSMODG00000025240|ENSMODT00000001087	13;12;11;6;5;4;2;1	1;1;0;0;0;0;0;0	1;1;0;0;0;0;0;0	ENSMODG00000001015|ENSMODT00000001233;ENSMODG00000023940|ENSMODT00000023305;ENSMODG00000025240|ENSMODT00000001087	8	13	1	1	4	10	8	8	4	0	1	1	1	0	0	1	1	1	0	51.8	4.8	4.8	39.383	355	355;375;376;374;375;376;374;358	0	35.165	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	14.1	47.9	41.1	22.8	14.1	5207500	0	3057800	505940	1643800	0	0	0	0	119040	0	0	2	1	1	0	4				47	57;171;202;248;267;331;578;579;684;755;918;1319;1337	False;False;True;False;False;False;False;False;False;False;False;False;False	58;181;221;222;269;270;290;357;358;617;618;619;620;733;804;976;1401;1422	146;147;148;149;150;151;152;518;519;604;605;606;607;733;734;735;791;792;793;969;970;971;972;973;1597;1598;1599;1600;1601;1602;1603;1908;2114;2115;2533;3577;3578;3579;3580;3630;3631;3632;3633;3634;3635;3636;3637;3638	101;102;103;339;401;402;403;404;484;485;520;631;632;633;1061;1062;1063;1064;1065;1280;1405;1406;1690;2359;2360;2395;2396;2397	102;339;404;485;520;631;1063;1065;1280;1406;1690;2360;2397	26;27;28;29;30;31	16;44;47;305;313;325

ENSMODG00000009222|ENSMODT00000011731;ENSMODG00000001059|ENSMODT00000001280;ENSMODG00000002696|ENSMODT00000003339;ENSMODG00000004410|ENSMODT00000005549;ENSMODG00000023174|ENSMODT00000030313;ENSMODG00000025146|ENSMODT00000038776;ENSMODG00000023172|ENSMODT00000030311	ENSMODG00000009222|ENSMODT00000011731;ENSMODG00000001059|ENSMODT00000001280;ENSMODG00000002696|ENSMODT00000003339;ENSMODG00000004410|ENSMODT00000005549;ENSMODG00000023174|ENSMODT00000030313;ENSMODG00000025146|ENSMODT00000038776	6;6;6;4;3;3;2	6;6;6;4;3;3;2	6;6;6;4;3;3;2	ENSMODG00000009222|ENSMODT00000011731;ENSMODG00000001059|ENSMODT00000001280;ENSMODG00000002696|ENSMODT00000003339;ENSMODG00000004410|ENSMODT00000005549;ENSMODG00000023174|ENSMODT00000030313;ENSMODG00000025146|ENSMODT00000038776	7	6	6	6	0	6	6	1	4	0	6	6	1	4	0	6	6	1	4	41.9	41.9	41.9	16.706	148	148;148;149;149;149;149;149	0	104.7		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	41.9	41.9	8.8	30.4	14231000	0	9293600	4213900	67953	655660	0	138690	88734	0	116780	0	6	4	1	1	12				48	28;223;268;279;902;1362	True;True;True;True;True;True	28;244;291;303;958;1448	69;70;71;668;669;670;794;795;796;819;820;821;822;823;824;2499;2500;2501;3705;3706	50;51;445;446;447;521;522;537;538;539;540;1667;2443	51;447;521;539;1667;2443		

ENSMODG00000001078|ENSMODT00000001316;ENSMODG00000004360|ENSMODT00000037268	ENSMODG00000001078|ENSMODT00000001316	56;4	56;4	52;1	ENSMODG00000001078|ENSMODT00000001316	2	56	56	52	8	47	45	21	19	8	47	45	21	19	7	43	41	20	17	29.5	29.5	27.6	226.57	1960	1960;1943	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.2	27.1	25.6	10.2	10.4	147340000	964630	85744000	46535000	10140000	3953000	826030	1049600	810060	1165700	746660	1	38	36	18	10	103				49	83;84;89;103;116;124;128;129;210;215;238;240;335;337;343;361;398;437;445;556;581;589;591;592;653;673;688;696;700;709;727;735;774;799;846;849;852;853;886;887;929;930;945;1002;1020;1033;1073;1096;1187;1265;1266;1275;1307;1358;1389;1469	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	86;87;93;109;110;125;133;137;138;230;235;259;261;362;364;371;389;429;472;480;595;622;630;633;634;700;721;722;737;745;749;758;776;784;823;849;896;897;900;903;904;938;939;991;992;1007;1068;1086;1099;1140;1164;1261;1343;1344;1355;1389;1444;1476;1559	231;232;233;234;254;255;307;308;309;310;311;312;313;314;315;316;317;373;395;396;397;408;409;410;628;629;641;642;643;644;710;711;712;715;992;993;994;995;996;998;999;1000;1012;1013;1014;1015;1016;1055;1056;1134;1135;1136;1243;1244;1245;1265;1266;1267;1268;1269;1546;1606;1607;1626;1627;1628;1629;1630;1631;1640;1641;1642;1643;1644;1645;1809;1810;1811;1812;1869;1870;1871;1872;1873;1874;1915;1916;1917;1937;1938;1939;1940;1941;1950;1951;1974;1975;2032;2033;2057;2058;2163;2164;2165;2249;2250;2357;2358;2359;2360;2361;2366;2367;2368;2369;2374;2375;2376;2455;2456;2457;2458;2558;2559;2560;2596;2597;2716;2717;2718;2763;2764;2807;2808;2809;2914;2915;2916;2917;2918;2919;2920;2921;2980;2981;2982;2983;2984;3244;3245;3246;3247;3427;3428;3429;3430;3431;3432;3459;3460;3461;3549;3550;3696;3697;3698;3764;3969	153;154;155;166;167;199;200;201;202;203;204;205;236;248;249;250;258;259;416;425;426;427;470;472;642;643;645;654;655;656;681;682;739;806;807;822;823;1029;1068;1069;1079;1080;1081;1082;1090;1091;1092;1093;1094;1095;1212;1213;1214;1258;1259;1286;1287;1300;1301;1307;1322;1354;1374;1436;1496;1574;1575;1576;1577;1581;1582;1585;1586;1587;1635;1636;1707;1708;1709;1737;1823;1824;1854;1880;1934;1935;1936;1937;1938;1939;1980;1981;1982;2155;2156;2157;2158;2274;2275;2276;2291;2292;2345;2438;2483;2620	154;155;167;202;236;248;258;259;416;425;470;472;642;645;654;682;739;806;823;1029;1069;1080;1092;1095;1213;1259;1287;1301;1307;1322;1354;1374;1436;1496;1577;1582;1585;1587;1635;1636;1707;1709;1737;1824;1854;1880;1937;1982;2157;2275;2276;2292;2345;2438;2483;2620	32;33;34	1768;1797;1910

ENSMODG00000001178|ENSMODT00000001440	ENSMODG00000001178|ENSMODT00000001440	7	2	2	ENSMODG00000001178|ENSMODT00000001440	1	7	2	2	0	7	6	0	2	0	2	2	0	1	0	2	2	0	1	13.1	3.8	3.8	107.42	951	951	0	43.853		By MS/MS	By matching		By matching	0	13.1	11.7	0	5.4	1038000	0	823730	199660	0	14601	0	10323	5202.7	0	0	0	3	0	0	0	3				50	68;120;178;625;745;889;1110	True;False;True;False;False;False;False	69;129;189;671;794;941;1178	182;183;184;185;384;385;533;534;1744;1745;2088;2089;2090;2460;2461;3006	124;125;243;350;1166;1389;1390;1638;1639;2000	124;243;350;1166;1389;1639;2000		

ENSMODG00000001236|ENSMODT00000001516	ENSMODG00000001236|ENSMODT00000001516	9	9	4	ENSMODG00000001236|ENSMODT00000001516	1	9	9	4	0	9	8	0	1	0	9	8	0	1	0	4	4	0	0	16	16	6.4	105.4	933	933	0	227.29		By MS/MS	By MS/MS		By matching	0	16	14.5	0	3.2	6941000	0	5033400	1831300	0	76251	0	66833	41405	0	0	0	8	4	0	0	12				51	67;120;179;625;745;889;926;1110;1240	True;True;True;True;True;True;True;True;True	68;129;190;671;794;941;987;1178;1316	180;181;384;385;535;536;1744;1745;2088;2089;2090;2460;2461;2550;2551;3006;3374;3375	123;243;351;352;1166;1389;1390;1638;1639;1702;2000;2234	123;243;352;1166;1389;1639;1702;2000;2234		

ENSMODG00000001275|ENSMODT00000001561	ENSMODG00000001275|ENSMODT00000001561	1	1	1	ENSMODG00000001275|ENSMODT00000001561	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	10.5	10.5	10.5	12.27	105	105	0	9.84		By MS/MS	By MS/MS			0	10.5	10.5	0	0	327780	0	327780	0	0	0	0	4441	0	0	0	0	1	1	0	0	2				52	311	True	337	908;909	595;596	595		

ENSMODG00000010521|ENSMODT00000013427;ENSMODG00000001384|ENSMODT00000011335;ENSMODG00000016572|ENSMODT00000039670;ENSMODG00000008918|ENSMODT00000001705;ENSMODG00000008826|ENSMODT00000011206	ENSMODG00000010521|ENSMODT00000013427;ENSMODG00000001384|ENSMODT00000011335;ENSMODG00000016572|ENSMODT00000039670;ENSMODG00000008918|ENSMODT00000001705;ENSMODG00000008826|ENSMODT00000011206	9;9;7;6;5	3;3;3;2;3	3;3;3;2;3	ENSMODG00000010521|ENSMODT00000013427;ENSMODG00000001384|ENSMODT00000011335;ENSMODG00000016572|ENSMODT00000039670;ENSMODG00000008918|ENSMODT00000001705;ENSMODG00000008826|ENSMODT00000011206	5	9	3	3	3	6	4	7	3	0	3	1	1	0	0	3	1	1	0	26.6	14.4	14.4	41.89	376	376;377;330;237;332	0	29.168	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	8.5	22.9	12.8	14.9	8.5	7047900	0	6557100	360280	130540	0	0	82560	0	0	0	0	4	1	1	0	6				53	57;172;267;331;548;578;579;918;1479	False;True;False;False;True;False;False;False;True	58;182;290;357;358;587;617;618;619;620;976;1570;1571	146;147;148;149;150;151;152;520;791;792;793;969;970;971;972;973;1526;1527;1597;1598;1599;1600;1601;1602;1603;2533;3991;3992;3993;3994;3995	101;102;103;340;520;631;632;633;1011;1012;1061;1062;1063;1064;1065;1690;2634;2635;2636	102;340;520;631;1012;1063;1065;1690;2635	28;29;30;31;35	45;48;83;314;326

ENSMODG00000001423|ENSMODT00000001761	ENSMODG00000001423|ENSMODT00000001761	8	3	3	ENSMODG00000001423|ENSMODT00000001761	1	8	3	3	1	8	8	3	2	1	3	3	1	1	1	3	3	1	1	9.7	3.7	3.7	120.47	1099	1099	0	49.007	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	0.9	9.7	9.7	2.7	1.8	46466000	25378	35121000	11190000	74361	54575	0	495260	215690	0	0	0	1	4	1	1	7				54	144;221;284;340;425;508;829;931	False;False;False;False;True;True;False;True	153;154;241;242;308;309;367;368;459;460;547;879;993	450;451;452;453;454;455;456;457;458;459;658;659;660;661;662;663;664;665;835;836;837;838;839;840;1003;1004;1005;1006;1007;1210;1211;1212;1213;1430;1431;1432;1433;1434;2324;2325;2326;2327;2561;2562	288;289;290;291;292;293;294;437;438;439;440;441;442;548;549;550;551;552;648;649;650;787;788;789;941;942;943;1548;1549;1710	292;441;552;649;789;943;1549;1710	36;37;38;39;40	952;967;984;1057;1069

ENSMODG00000001471|ENSMODT00000001824	ENSMODG00000001471|ENSMODT00000001824	2	2	2	ENSMODG00000001471|ENSMODT00000001824	1	2	2	2	0	1	2	0	1	0	1	2	0	1	0	1	2	0	1	5.6	5.6	5.6	55.949	504	504	0	13.952		By MS/MS	By MS/MS		By matching	0	2.4	5.6	0	2.4	293670	0	215090	52607	0	25973	0	0	0	0	4997.6	0	1	1	0	0	2				55	65;1186	True;True	66;1260	177;3241;3242;3243	121;2154	121;2154		

ENSMODG00000001575|ENSMODT00000001962;ENSMODG00000001575|ENSMODT00000001934	ENSMODG00000001575|ENSMODT00000001962;ENSMODG00000001575|ENSMODT00000001934	11;11	11;11	11;11	ENSMODG00000001575|ENSMODT00000001962;ENSMODG00000001575|ENSMODT00000001934	2	11	11	11	1	5	5	5	11	1	5	5	5	11	1	5	5	5	11	28.5	28.5	28.5	29.179	253	253;280	0	105.91	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.3	23.3	19	20.9	28.5	44994000	14506	2835100	1570000	1142100	39433000	0	209250	182860	437670	5578300	0	3	1	4	20	28				56	185;186;187;454;455;1241;1242;1342;1370;1371;1462	True;True;True;True;True;True;True;True;True;True;True	196;197;198;199;200;201;202;203;489;490;1317;1318;1319;1320;1427;1457;1458;1552	549;550;551;552;553;554;555;556;557;558;559;560;561;562;1289;1290;1291;3376;3377;3378;3379;3380;3381;3382;3383;3655;3656;3657;3658;3722;3723;3724;3725;3726;3954;3955;3956	362;363;364;365;366;367;368;369;370;371;372;373;374;838;839;2235;2236;2237;2238;2239;2240;2415;2416;2455;2456;2457;2610;2611	367;372;374;838;839;2237;2240;2416;2455;2456;2610	41;42;43;44	13;72;75;89

ENSMODG00000001819|ENSMODT00000002265	ENSMODG00000001819|ENSMODT00000002265	6	6	2	ENSMODG00000001819|ENSMODT00000002265	1	6	6	2	2	5	5	2	3	2	5	5	2	3	0	2	2	0	0	42.4	42.4	17.4	20.685	184	184	0	76.967	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.4	35.9	35.9	13.6	16.3	20595000	82264	14285000	2614300	3402700	211100	149960	195170	69304	126960	73485	0	5	4	2	2	13				57	157;295;371;793;1282;1292	True;True;True;True;True;True	167;321;399;843;1362;1373	484;485;870;871;1075;1076;1077;2237;2238;3476;3477;3478;3479;3502;3503;3504;3505;3506	314;315;570;571;695;696;1490;2302;2303;2304;2305;2320;2321	315;570;696;1490;2304;2321		

ENSMODG00000001856|ENSMODT00000002314	ENSMODG00000001856|ENSMODT00000002314	1	1	1	ENSMODG00000001856|ENSMODT00000002314	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1.7	1.7	1.7	48.118	409	409	0.0075188	5.8507		By MS/MS	By matching			0	1.7	1.7	0	0	2700600	0	1931300	769320	0	0	0	0	16821	0	0	0	1	0	0	0	1				58	868	True	919	2414;2415	1607	1607		

ENSMODG00000001889|ENSMODT00000002348	ENSMODG00000001889|ENSMODT00000002348	13	13	12	ENSMODG00000001889|ENSMODT00000002348	1	13	13	12	0	5	11	4	8	0	5	11	4	8	0	4	10	3	7	23.3	23.3	23.3	53.537	527	527	0	116.39		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	11.4	22.2	9.9	14.2	725890000	0	2941000	715950000	2278700	4718300	0	69277	15069000	344580	543980	0	3	19	5	6	33				59	15;16;17;106;107;175;317;318;448;554;731;805;1272	True;True;True;True;True;True;True;True;True;True;True;True;True	15;16;17;113;114;115;185;186;343;344;483;593;780;855;1351;1352	41;42;43;44;45;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;524;525;526;527;927;928;929;1274;1275;1276;1277;1542;2050;2266;2267;2268;2269;2270;2271;2272;3449;3450;3451;3452;3453;3454	32;33;34;208;209;210;211;212;213;214;215;343;344;345;346;608;609;827;828;829;830;1027;1368;1503;1504;1505;1506;1507;1508;1509;2286;2287;2288	32;33;34;214;215;343;608;609;829;1027;1368;1507;2287	45;46;47	322;437;465

ENSMODG00000001916|ENSMODT00000002391	ENSMODG00000001916|ENSMODT00000002391	1	1	1	ENSMODG00000001916|ENSMODT00000002391	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	8.3	8.3	8.3	17.793	157	157	0	8.4031		By matching	By MS/MS	By MS/MS	By matching	0	8.3	8.3	8.3	8.3	944120	0	603130	247290	79972	13727	0	0	0	0	2641.3	0	0	1	1	0	2				60	74	True	76;77	199;200;201;202;203	136;137	137	48	91

