Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 2	Peptides Scram	Peptides 4	Peptides 5	Peptides 6	Peptides 7	Peptides A1	Peptides A2	Peptides ALL	Peptides combine	Peptides N1	Peptides N2	Peptides none	Peptides O3	Razor + unique peptides 2	Razor + unique peptides Scram	Razor + unique peptides 4	Razor + unique peptides 5	Razor + unique peptides 6	Razor + unique peptides 7	Razor + unique peptides A1	Razor + unique peptides A2	Razor + unique peptides ALL	Razor + unique peptides combine	Razor + unique peptides N1	Razor + unique peptides N2	Razor + unique peptides none	Razor + unique peptides O3	Unique peptides 2	Unique peptides Scram	Unique peptides 4	Unique peptides 5	Unique peptides 6	Unique peptides 7	Unique peptides A1	Unique peptides A2	Unique peptides ALL	Unique peptides combine	Unique peptides N1	Unique peptides N2	Unique peptides none	Unique peptides O3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 2	Identification type Scram	Identification type 4	Identification type 5	Identification type 6	Identification type 7	Identification type A1	Identification type A2	Identification type ALL	Identification type combine	Identification type N1	Identification type N2	Identification type none	Identification type O3	Sequence coverage 2 [%]	Sequence coverage Scram [%]	Sequence coverage 4 [%]	Sequence coverage 5 [%]	Sequence coverage 6 [%]	Sequence coverage 7 [%]	Sequence coverage A1 [%]	Sequence coverage A2 [%]	Sequence coverage ALL [%]	Sequence coverage combine [%]	Sequence coverage N1 [%]	Sequence coverage N2 [%]	Sequence coverage none [%]	Sequence coverage O3 [%]	Intensity	Intensity 2	Intensity Scram	Intensity 4	Intensity 5	Intensity 6	Intensity 7	Intensity A1	Intensity A2	Intensity ALL	Intensity combine	Intensity N1	Intensity N2	Intensity none	Intensity O3	LFQ intensity 2	LFQ intensity Scram	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity A1	LFQ intensity A2	LFQ intensity ALL	LFQ intensity combine	LFQ intensity N1	LFQ intensity N2	LFQ intensity none	LFQ intensity O3	MS/MS count 2	MS/MS count Scram	MS/MS count 4	MS/MS count 5	MS/MS count 6	MS/MS count 7	MS/MS count A1	MS/MS count A2	MS/MS count ALL	MS/MS count combine	MS/MS count N1	MS/MS count N2	MS/MS count none	MS/MS count O3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions

ENSMODG00000004288|ENSMODT00000005395	ENSMODG00000004288|ENSMODT00000005395	4	4	4	ENSMODG00000004288|ENSMODT00000005395	1	4	4	4	2	0	4	4	1	3	2	2	3	0	4	4	4	4	2	0	4	4	1	3	2	2	3	0	4	4	4	4	2	0	4	4	1	3	2	2	3	0	4	4	4	4	14.5	14.5	14.5	31.798	283	283	0	11.787	By matching		By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS		By MS/MS	By matching	By MS/MS	By MS/MS	7.4	0	14.5	14.5	3.5	11	7.4	7.1	11	0	14.5	14.5	14.5	14.5	2714400	69157	0	414210	296660	44865	66737	51160	184040	287720	0	446330	183310	217110	453120	213520	0	283690	223570	0	193570	0	0	235080	0	206290	203900	290380	380530	0	0	1	0	1	0	0	0	1	0	1	0	1	2	7				131	310;982;1011;2124	True;True;True;True	335;1050;1079;2250	3410;3411;3412;3413;3414;3415;3416;3417;3418;10368;10369;10370;10371;10372;10373;10374;10375;10376;10679;10680;10681;10682;10683;10684;10685;10686;10687;10688;10689;22771;22772;22773;22774;22775;22776;22777;22778;22779;22780	1622;4669;4793;4794;4795;10010;10011	1622;4669;4795;10011		

ENSMODG00000004366|ENSMODT00000005490	ENSMODG00000004366|ENSMODT00000005490	1	1	1	ENSMODG00000004366|ENSMODT00000005490	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	2.8	2.8	2.8	66.481	598	598	0	14.118							By matching				By MS/MS	By MS/MS		By matching	0	0	0	0	0	0	2.8	0	0	0	2.8	2.8	0	2.8	345580	0	0	0	0	0	0	50648	0	0	0	128740	125740	0	40452	0	0	0	0	0	0	0	0	0	0	0	0	0	31299	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2				132	1914	True	2027	20514;20515;20516;20517	9085;9086	9086		

ENSMODG00000008019|ENSMODT00000010174;ENSMODG00000004385|ENSMODT00000005520	ENSMODG00000008019|ENSMODT00000010174;ENSMODG00000004385|ENSMODT00000005520	1;1	1;1	1;1	ENSMODG00000008019|ENSMODT00000010174;ENSMODG00000004385|ENSMODT00000005520	2	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	3.5	3.5	3.5	38.296	344	344;347	0	3.6557	By MS/MS		By matching	By matching	By matching				By matching						3.5	0	3.5	3.5	3.5	0	0	0	3.5	0	0	0	0	0	139560	49601	0	26682	31470	12255	0	0	0	19555	0	0	0	0	0	0	0	0	0	0	0	0	0	15108	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1				133	1236	True	1312	13082;13083;13084;13085;13086	5937	5937		

ENSMODG00000004445|ENSMODT00000005593	ENSMODG00000004445|ENSMODT00000005593	5	5	5	ENSMODG00000004445|ENSMODT00000005593	1	5	5	5	5	0	5	3	4	2	0	0	3	0	0	0	0	0	5	0	5	3	4	2	0	0	3	0	0	0	0	0	5	0	5	3	4	2	0	0	3	0	0	0	0	0	13.1	13.1	13.1	49.64	435	435	0	7.1401	By MS/MS		By MS/MS	By matching	By MS/MS	By matching			By MS/MS						13.1	0	13.1	8.3	11	5.3	0	0	8.3	0	0	0	0	0	1075700	341700	0	250600	95811	147390	50850	0	0	189310	0	0	0	0	0	340580	0	191850	107540	351310	125550	0	0	251000	0	0	0	0	0	3	0	3	0	1	0	0	0	2	0	0	0	0	0	9				134	274;677;1041;2049;2491	True;True;True;True;True	294;728;1110;2167;2636	2991;2992;2993;2994;2995;7273;7274;7275;7276;7277;7278;10969;10970;10971;22018;22019;22020;26496;26497;26498;26499;26500	1444;3298;3299;3300;4937;9709;9710;11681;11682	1444;3298;4937;9710;11682		

ENSMODG00000004491|ENSMODT00000006189	ENSMODG00000004491|ENSMODT00000006189	1	1	1	ENSMODG00000004491|ENSMODT00000006189	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0.9	0.9	0.9	191.84	1753	1753	0	1.7579			By matching		By matching			By matching	By matching					By MS/MS	0	0	0.9	0	0.9	0	0	0.9	0.9	0	0	0	0	0.9	576820	0	0	44681	0	25526	0	0	114860	40467	0	0	0	0	351280	0	0	0	0	0	0	0	0	0	0	0	0	0	271800	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				135	2300	True	2435	24553;24554;24555;24556;24557	10819	10819		

ENSMODG00000004535|ENSMODT00000005712	ENSMODG00000004535|ENSMODT00000005712	2	2	2	ENSMODG00000004535|ENSMODT00000005712	1	2	2	2	2	0	2	1	1	1	0	1	2	0	0	0	0	0	2	0	2	1	1	1	0	1	2	0	0	0	0	0	2	0	2	1	1	1	0	1	2	0	0	0	0	0	8.2	8.2	8.2	32.415	304	304	0	2.5739	By MS/MS		By matching	By matching	By matching	By matching		By MS/MS	By matching						8.2	0	8.2	3.6	4.6	3.6	0	3.6	8.2	0	0	0	0	0	369690	120730	0	61897	6224.5	29114	12046	0	96151	43531	0	0	0	0	0	0	0	0	0	0	0	0	0	33633	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2				136	831;2413	True;True	893;2552	8715;8716;8717;8718;25603;25604;25605;25606;25607;25608	3948;11264	3948;11264		

ENSMODG00000004571|ENSMODT00000005753	ENSMODG00000004571|ENSMODT00000005753	2	2	2	ENSMODG00000004571|ENSMODT00000005753	1	2	2	2	2	0	2	2	0	2	0	2	2	0	0	0	2	2	2	0	2	2	0	2	0	2	2	0	0	0	2	2	2	0	2	2	0	2	0	2	2	0	0	0	2	2	18.8	18.8	18.8	17.781	165	165	0	3.1288	By matching		By MS/MS	By matching		By matching		By MS/MS	By matching				By matching	By matching	18.8	0	18.8	18.8	0	18.8	0	18.8	18.8	0	0	0	18.8	18.8	708360	37634	0	129090	60217	0	55475	0	268250	49146	0	0	0	39838	68717	45888	0	149520	50680	0	61861	0	59210	37767	0	0	0	71664	53253	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3				137	276;554	True;True	296;595	3001;3002;3003;3004;3005;3006;3007;3008;3009;5990;5991;5992;5993;5994;5995;5996;5997	1446;2746;2747	1446;2746		

ENSMODG00000004625|ENSMODT00000005824;ENSMODG00000004625|ENSMODT00000005821	ENSMODG00000004625|ENSMODT00000005824;ENSMODG00000004625|ENSMODT00000005821	8;8	8;8	8;8	ENSMODG00000004625|ENSMODT00000005824;ENSMODG00000004625|ENSMODT00000005821	2	8	8	8	8	1	6	6	4	7	1	0	7	0	1	1	3	0	8	1	6	6	4	7	1	0	7	0	1	1	3	0	8	1	6	6	4	7	1	0	7	0	1	1	3	0	25.9	25.9	25.9	51.358	456	456;459	0	11.565	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching		By MS/MS		By matching	By MS/MS	By matching		25.9	3.3	18.6	17.8	13.4	21.1	3.3	0	22.6	0	3.3	3.3	11.4	0	3614900	801940	72877	407860	453210	691760	400060	28685	0	563040	0	66705	55701	73061	0	725610	0	408910	354280	2296900	368930	0	0	478510	0	0	0	486560	0	3	0	2	1	3	1	0	0	5	0	0	1	0	0	16				138	357;634;909;1264;1558;2087;2531;2586	True;True;True;True;True;True;True;True	386;680;977;1341;1641;2210;2680;2736	3986;3987;3988;6708;6709;6710;6711;6712;6713;6714;6715;6716;9658;9659;9660;9661;9662;13330;13331;13332;13333;13334;13335;13336;16698;16699;16700;16701;22482;22483;22484;22485;22486;22487;26959;26960;26961;26962;26963;26964;27482;27483;27484;27485;27486;27487;27488	1884;3009;4357;6035;7432;7433;9891;9892;11916;11917;11918;11919;12120;12121;12122;12123;12124;12125	1884;3009;4357;6035;7432;9892;11918;12120		

ENSMODG00000004632|ENSMODT00000005832	ENSMODG00000004632|ENSMODT00000005832	1	1	1	ENSMODG00000004632|ENSMODT00000005832	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0.7	0.7	0.7	168.15	1702	1702	0	1.3765							By MS/MS	By matching			By MS/MS	By MS/MS		By matching	0	0	0	0	0	0	0.7	0.7	0	0	0.7	0.7	0	0.7	581740	0	0	0	0	0	0	95145	192820	0	0	124410	135670	0	33689	0	0	0	0	0	0	0	0	0	0	0	0	0	26067	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3				139	91	True	98	928;929;930;931;932	452;453;454	452		

ENSMODG00000004633|ENSMODT00000032654	ENSMODG00000004633|ENSMODT00000032654	6	6	6	ENSMODG00000004633|ENSMODT00000032654	1	6	6	6	5	0	4	3	1	2	1	5	3	1	5	4	1	5	5	0	4	3	1	2	1	5	3	1	5	4	1	5	5	0	4	3	1	2	1	5	3	1	5	4	1	5	15.8	15.8	15.8	75.977	689	689	0	28.663	By MS/MS		By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	11.9	0	9.3	9.3	3	6.2	2.2	11.8	9.3	4.1	11.8	11.8	2.9	11.8	3915600	809100	0	168570	151670	15706	38710	85130	846370	184530	29500	681980	636390	13395	254540	973940	0	127510	110390	0	0	0	227370	137560	0	242640	462790	0	153230	3	0	0	0	0	0	1	2	0	0	2	2	0	0	10				140	124;543;1401;2125;2217;2451	True;True;True;True;True;True	133;584;1479;2251;2349;2596	1183;1184;1185;1186;1187;1188;1189;1190;1191;1192;5892;5893;5894;5895;14859;14860;14861;14862;14863;14864;14865;14866;14867;22781;22782;22783;22784;22785;22786;23748;23749;23750;23751;23752;26097;26098;26099;26100;26101;26102	567;568;2702;2703;6624;10012;10477;10478;10479;11533	568;2702;6624;10012;10477;11533		

ENSMODG00000004722|ENSMODT00000005939	ENSMODG00000004722|ENSMODT00000005939	3	3	3	ENSMODG00000004722|ENSMODT00000005939	1	3	3	3	1	2	2	3	0	0	2	0	2	0	1	3	2	1	1	2	2	3	0	0	2	0	2	0	1	3	2	1	1	2	2	3	0	0	2	0	2	0	1	3	2	1	40.8	40.8	40.8	11.588	103	103	0	4.599	By matching	By MS/MS	By matching	By matching			By matching		By matching		By MS/MS	By MS/MS	By matching	By matching	7.8	33	15.5	40.8	0	0	15.5	0	33	0	7.8	40.8	33	7.8	1857300	14503	180530	155400	222510	0	0	330200	0	167920	0	130400	489700	87382	78799	0	126410	0	139230	0	0	0	0	151270	0	0	411240	159000	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	4				141	629;997;1954	True;True;True	675;1065;2068	6671;6672;6673;6674;6675;6676;6677;6678;6679;6680;10575;10576;10577;10578;10579;20984;20985;20986;20987;20988	3001;3002;4759;9266	3001;4759;9266		

ENSMODG00000004785|ENSMODT00000036744	ENSMODG00000004785|ENSMODT00000036744	10	10	10	ENSMODG00000004785|ENSMODT00000036744	1	10	10	10	9	0	7	7	5	4	0	1	7	0	0	0	7	0	9	0	7	7	5	4	0	1	7	0	0	0	7	0	9	0	7	7	5	4	0	1	7	0	0	0	7	0	23.3	23.3	23.3	85.817	776	776	0	20.299	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By MS/MS				By MS/MS		21.9	0	16.9	16.2	13.1	9	0	1.4	16.1	0	0	0	15.2	0	5678800	1253600	0	761340	888770	606820	297580	0	72798	816130	0	0	0	981670	0	1156700	0	685320	775100	2864100	488460	0	0	727590	0	0	0	1681200	0	4	0	4	3	4	2	0	0	5	0	0	0	4	0	26				142	80;264;269;1085;1271;1599;1600;2065;2632;2662	True;True;True;True;True;True;True;True;True;True	87;282;288;1155;1348;1682;1683;2185;2784;2815	807;808;809;810;811;812;813;814;2866;2867;2868;2869;2870;2919;2920;2921;2922;2923;2924;11493;11494;13393;13394;13395;13396;17159;17160;17161;17162;17163;17164;17165;17166;17167;17168;17169;22235;22236;22237;22238;22239;22240;22241;22242;22243;22244;22245;22246;22247;22248;22249;22250;27951;27952;27953;27954;27955;27956;27957;28215;28216;28217	386;387;388;389;390;391;1382;1383;1410;1411;5215;6068;7663;7664;7665;7666;7667;7668;7669;7670;7671;9814;9815;9816;12326;12439	386;1382;1411;5215;6068;7668;7671;9816;12326;12439		

ENSMODG00000004847|ENSMODT00000006093;ENSMODG00000004831|ENSMODT00000006073	ENSMODG00000004847|ENSMODT00000006093;ENSMODG00000004831|ENSMODT00000006073	1;1	1;1	1;1	ENSMODG00000004847|ENSMODT00000006093;ENSMODG00000004831|ENSMODT00000006073	2	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	12.5	12.5	12.5	11.485	104	104;104	0	1.7109		By matching						By matching			By MS/MS	By matching		By matching	0	12.5	0	0	0	0	0	12.5	0	0	12.5	12.5	0	12.5	194470	0	41278	0	0	0	0	0	44198	0	0	62449	19886	0	26657	0	0	0	0	0	0	0	0	0	0	0	0	0	20625	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1				143	352	True	380	3924;3925;3926;3927;3928	1862	1862		

ENSMODG00000004917|ENSMODT00000006179	ENSMODG00000004917|ENSMODT00000006179	2	2	2	ENSMODG00000004917|ENSMODT00000006179	1	2	2	2	1	0	1	1	0	1	1	2	1	0	1	2	1	1	1	0	1	1	0	1	1	2	1	0	1	2	1	1	1	0	1	1	0	1	1	2	1	0	1	2	1	1	1.9	1.9	1.9	161.2	1419	1419	0	1.6005	By matching		By matching	By matching		By matching	By matching	By MS/MS	By matching		By matching	By matching	By matching	By matching	0.9	0	0.9	0.9	0	0.9	1	1.9	0.9	0	1	1.9	0.9	0.9	534020	8972.1	0	43064	31488	0	15788	45530	98208	27385	0	184190	35389	22756	21256	0	0	0	0	0	0	0	0	0	0	0	27461	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1				144	966;1480	True;True	1034;1561	10253;10254;10255;10256;15773;15774;15775;15776;15777;15778;15779;15780;15781	4631;7041	4631;7041		

ENSMODG00000005083|ENSMODT00000006407	ENSMODG00000005083|ENSMODT00000006407	1	1	1	ENSMODG00000005083|ENSMODT00000006407	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1.1	1.1	1.1	134.56	1207	1207	0	4.2975	By MS/MS		By matching	By matching	By MS/MS	By matching		By matching	By matching				By matching	By matching	1.1	0	1.1	1.1	1.1	1.1	0	1.1	1.1	0	0	0	1.1	1.1	844500	250790	0	99661	86280	87355	51644	0	122010	80966	0	0	0	29123	36665	0	0	0	0	0	0	0	0	0	0	0	0	77105	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2				145	2334	True	2472	24885;24886;24887;24888;24889;24890;24891;24892;24893;24894	10944;10945	10945		

ENSMODG00000005119|ENSMODT00000006432	ENSMODG00000005119|ENSMODT00000006432	2	2	2	ENSMODG00000005119|ENSMODT00000006432	1	2	2	2	2	0	2	2	2	1	0	0	2	0	0	0	0	0	2	0	2	2	2	1	0	0	2	0	0	0	0	0	2	0	2	2	2	1	0	0	2	0	0	0	0	0	23	23	23	22.762	200	200	0	7.7869	By MS/MS		By MS/MS	By matching	By MS/MS	By MS/MS			By MS/MS						23	0	23	23	23	9.5	0	0	23	0	0	0	0	0	1544400	385790	0	258100	102600	242970	78466	0	0	476440	0	0	0	0	0	522620	0	248740	0	723540	0	0	0	356650	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	5				146	396;2320	True;True	427;2455	4403;4404;4405;4406;4407;4408;24742;24743;24744;24745;24746	2051;2052;2053;10893;10894	2053;10893		

ENSMODG00000005157|ENSMODT00000042024;ENSMODG00000005157|ENSMODT00000006477	ENSMODG00000005157|ENSMODT00000042024;ENSMODG00000005157|ENSMODT00000006477	2;2	2;2	2;2	ENSMODG00000005157|ENSMODT00000042024;ENSMODG00000005157|ENSMODT00000006477	2	2	2	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	11.5	11.5	11.5	40.452	375	375;407	0	1.9843	By MS/MS			By matching		By MS/MS									11.5	0	0	11.5	0	11.5	0	0	0	0	0	0	0	0	456170	211870	0	0	128820	0	115480	0	0	0	0	0	0	0	0	205240	0	0	0	0	151090	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2				147	845;1501	True;True	907;1583	8880;8881;8882;15971;15972;15973	4011;7132	4011;7132		

ENSMODG00000005184|ENSMODT00000006518	ENSMODG00000005184|ENSMODT00000006518	2	2	2	ENSMODG00000005184|ENSMODT00000006518	1	2	2	2	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	0	0	2	2	0	2	0	0	0	0	0	0	2	2	0	0	2	2	0	2	5.8	5.8	5.8	59.657	538	538	0	32.678							By matching	By MS/MS			By MS/MS	By MS/MS		By MS/MS	0	0	0	0	0	0	5.8	5.8	0	0	5.8	5.8	0	5.8	1877900	0	0	0	0	0	0	189830	302680	0	0	725560	579620	0	80235	0	0	0	0	0	0	127860	114120	0	0	449870	277860	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	5				148	485;1576	True;True	524;1659	5308;5309;5310;5311;5312;16949;16950;16951;16952;16953	2454;2455;2456;2457;7556	2456;7556		

ENSMODG00000005214|ENSMODT00000006559	ENSMODG00000005214|ENSMODT00000006559	5	5	5	ENSMODG00000005214|ENSMODT00000006559	1	5	5	5	5	0	5	5	2	5	2	3	5	0	4	4	1	4	5	0	5	5	2	5	2	3	5	0	4	4	1	4	5	0	5	5	2	5	2	3	5	0	4	4	1	4	40.2	40.2	40.2	21.189	179	179	0	10.165	By MS/MS		By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS		By matching	By matching	By matching	By MS/MS	40.2	0	40.2	40.2	18.4	40.2	12.3	21.8	40.2	0	31.8	30.2	10.1	30.7	2675600	418340	0	376020	268080	77404	168740	35800	145620	227520	0	308210	91227	13753	544850	193070	0	312130	164370	271680	153220	99751	0	139240	0	172480	111200	0	643160	1	0	3	1	0	0	0	1	1	0	0	0	0	2	9				149	777;1351;1390;2273;2729	True;True;True;True;True	839;1429;1468;2407;2883	8210;8211;8212;8213;8214;8215;8216;8217;14284;14285;14286;14287;14288;14289;14290;14291;14292;14293;14734;14735;14736;14737;14738;14739;14740;14741;14742;24280;24281;24282;24283;24284;24285;24286;24287;28852;28853;28854;28855;28856;28857;28858;28859;28860;28861	3722;3723;3724;3725;6427;6579;10694;12693;12694	3724;6427;6579;10694;12694		

ENSMODG00000005250|ENSMODT00000006610;ENSMODG00000015125|ENSMODT00000033993	ENSMODG00000005250|ENSMODT00000006610	3;1	3;1	3;1	ENSMODG00000005250|ENSMODT00000006610	2	3	3	3	2	2	2	2	2	3	2	2	2	0	0	0	0	2	2	2	2	2	2	3	2	2	2	0	0	0	0	2	2	2	2	2	2	3	2	2	2	0	0	0	0	2	16.6	16.6	16.6	44.238	403	403;447	0	27.224	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS					By MS/MS	7.4	7.4	7.4	7.4	7.4	16.6	7.4	7.4	7.4	0	0	0	0	7.4	5234800	126820	769170	641410	413760	49989	1496200	273350	661130	608300	0	0	0	0	194670	123290	294160	869500	251710	170960	1459500	134600	124200	754350	0	0	0	0	138290	0	1	2	1	0	3	1	0	2	0	0	0	0	1	11				150	1021;1969;2395	True;True;True	1089;2083;2534	10789;10790;10791;10792;10793;10794;10795;10796;10797;10798;21112;25470;25471;25472;25473;25474;25475;25476;25477;25478;25479	4864;4865;4866;9318;11210;11211;11212;11213;11214;11215;11216	4865;9318;11214		

ENSMODG00000005252|ENSMODT00000006616	ENSMODG00000005252|ENSMODT00000006616	4	4	4	ENSMODG00000005252|ENSMODT00000006616	1	4	4	4	4	0	4	4	2	4	0	3	4	0	0	0	3	0	4	0	4	4	2	4	0	3	4	0	0	0	3	0	4	0	4	4	2	4	0	3	4	0	0	0	3	0	13.2	13.2	13.2	61.574	536	536	0	5.3915	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By MS/MS				By matching		13.2	0	13.2	13.2	8.6	13.2	0	9.3	13.2	0	0	0	9.3	0	2664200	630120	0	452850	381070	292710	220470	0	113040	387680	0	0	0	186220	0	509210	0	390290	216820	1158500	225520	0	126870	288280	0	0	0	543970	0	2	0	2	1	2	1	0	0	2	0	0	0	0	0	10				151	541;1441;1566;2763	True;True;True;True	582;1522;1649;2918	5858;5859;5860;5861;5862;5863;15347;15348;15349;15350;15351;15352;15353;15354;16803;16804;16805;16806;16807;16808;16809;16810;16811;29222;29223;29224;29225;29226;29227;29228;29229	2679;2680;6817;6818;6819;6820;7476;7477;12869;12870	2679;6819;7477;12869		

ENSMODG00000005284|ENSMODT00000006648	ENSMODG00000005284|ENSMODT00000006648	2	2	2	ENSMODG00000005284|ENSMODT00000006648	1	2	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	33.1	33.1	33.1	13.877	124	124	0	14.512							By MS/MS	By MS/MS						By matching	0	0	0	0	0	0	33.1	33.1	0	0	0	0	0	33.1	2535000	0	0	0	0	0	0	450510	1848900	0	0	0	0	0	235620	0	0	0	0	0	0	0	445590	0	0	0	0	0	193190	0	0	0	0	0	0	2	2	0	0	0	0	0	0	4				152	2088;2404	True;True	2211;2543	22488;22489;22490;25542;25543;25544	9893;9894;11243;11244	9894;11244		

